"","Var1","Freq"
"1","1",1
"2","10",1
"3","11",1
"4","12",1
"5","13",1
"6","14",1
"7","15",1
"8","15th",1
"9","16",1
"10","17",1
"11","18",1
"12","18th",1
"13","19",1
"14","2",2
"15","20",1
"16","21",1
"17","22",1
"18","23",1
"19","24",1
"20","25",1
"21","26",1
"22","26th",1
"23","27",1
"24","28",1
"25","29",1
"26","3",1
"27","30",1
"28","31",1
"29","32",1
"30","33",1
"31","34",1
"32","35",1
"33","36",1
"34","37",1
"35","38",1
"36","39",1
"37","4",1
"38","40",1
"39","41",1
"40","42",1
"41","43",1
"42","44",1
"43","45",1
"44","46",1
"45","47",1
"46","48",1
"47","49",1
"48","5",1
"49","50",1
"50","51",1
"51","52",1
"52","53",1
"53","54",1
"54","55",1
"55","56",1
"56","57",1
"57","58",1
"58","59",1
"59","6",2
"60","60",1
"61","61",1
"62","7",1
"63","8",1
"64","9",1
"65","_accident_",1
"66","_advantages_",1
"67","_affect_",1
"68","_all_",4
"69","_am_",1
"70","_another",1
"71","_any_",1
"72","_anybody's_",1
"73","_appearance_",3
"74","_are_",2
"75","_as",1
"76","_be_",1
"77","_begin_",1
"78","_being",1
"79","_boulanger_",1
"80","_brotherly_",1
"81","_can_",1
"82","_coming",1
"83","_conditionally_",1
"84","_did_",6
"85","_dined_",1
"86","_do_",6
"87","_does_",2
"88","_eldest_",1
"89","_endeavour_",1
"90","_expression_",1
"91","_family_",1
"92","_feel_",1
"93","_felt_",1
"94","_filial_",1
"95","_fine",1
"96","_food_",1
"97","_had",1
"98","_had_",3
"99","_half_",1
"100","_hauteur_",2
"101","_have_",2
"102","_he_",12
"103","_heard_",2
"104","_her_",22
"105","_here_",2
"106","_hers_",1
"107","_him_",11
"108","_his_",13
"109","_i_",4
"110","_insist_",2
"111","_is_",3
"112","_knew_",1
"113","_know_",2
"114","_laugh_",1
"115","_little_",1
"116","_make_",2
"117","_making_",1
"118","_manner_",1
"119","_may_",2
"120","_me_",17
"121","_meant_",1
"122","_mine_",4
"123","_missish_",1
"124","_month_",1
"125","_more_",3
"126","_most_",1
"127","_mr",1
"128","_much_",1
"129","_must_",3
"130","_my_",15
"131","_myself_",1
"132","_near_",2
"133","_nephew_",1
"134","_never_",2
"135","_not_",8
"136","_now_",5
"137","_of_",1
"138","_one_",5
"139","_only_",1
"140","_ought_",1
"141","_our_",1
"142","_own_",1
"143","_particularly_",1
"144","_persuasion_",1
"145","_present_",1
"146","_prudently_",1
"147","_remind_",1
"148","_retaining_",1
"149","_right_",1
"150","_scheme_",1
"151","_sentiment_",1
"152","_shall_",1
"153","_she_",15
"154","_should_",3
"155","_some_",4
"156","_spoke_",1
"157","_such_",3
"158","_surprised_",1
"159","_that",1
"160","_that_",37
"161","_their_",1
"162","_them_",6
"163","_then_",1
"164","_there_",5
"165","_they_",4
"166","_this_",6
"167","_three_",1
"168","_to_",1
"169","_tolerable_",1
"170","_too",1
"171","_two_",3
"172","_us_",2
"173","_very_",2
"174","_violent",1
"175","_was_",2
"176","_we_",6
"177","_were_",2
"178","_what_",1
"179","_when_",1
"180","_which_",1
"181","_will_",7
"182","_wished_",1
"183","_with_",1
"184","_would_",3
"185","_you_",31
"186","_younger_",1
"187","_your_",17
"188","_yours_",2
"189","a",1954
"190","abatement",1
"191","abhorrence",6
"192","abhorrent",1
"193","abide",1
"194","abiding",1
"195","abilities",6
"196","able",54
"197","ablution",1
"198","abode",8
"199","abominable",6
"200","abominably",4
"201","abominate",2
"202","abound",1
"203","about",122
"204","above",21
"205","abroad",4
"206","abrupt",1
"207","abruptly",2
"208","abruptness",2
"209","absence",27
"210","absent",4
"211","absolute",4
"212","absolutely",18
"213","absurd",5
"214","absurdities",2
"215","absurdity",1
"216","abundant",1
"217","abundantly",3
"218","abuse",2
"219","abused",2
"220","abusing",3
"221","abusive",2
"222","accede",1
"223","acceded",1
"224","acceding",1
"225","accent",4
"226","accents",2
"227","accept",17
"228","acceptable",6
"229","acceptance",4
"230","accepted",16
"231","accepting",4
"232","accident",5
"233","accidental",3
"234","accidentally",3
"235","accompanied",6
"236","accompany",3
"237","accompanying",2
"238","accomplished",12
"239","accomplishment",3
"240","accomplishments",5
"241","according",8
"242","accordingly",6
"243","accosted",2
"244","account",38
"245","accounted",2
"246","accounting",3
"247","accounts",3
"248","accuracy",1
"249","accurate",1
"250","accusation",1
"251","accusations",3
"252","accuse",4
"253","accused",2
"254","accusing",1
"255","accustomed",2
"256","ached",1
"257","achieving",1
"258","acknowledge",8
"259","acknowledged",20
"260","acknowledging",1
"261","acknowledgment",3
"262","acknowledgments",2
"263","acquaint",2
"264","acquaintance",52
"265","acquaintances",11
"266","acquainted",24
"267","acquainting",1
"268","acquiesce",1
"269","acquiescence",2
"270","acquire",1
"271","acquired",2
"272","acquisition",1
"273","acquit",2
"274","acrimony",1
"275","across",5
"276","act",9
"277","acted",6
"278","acting",3
"279","action",2
"280","actions",6
"281","active",4
"282","activity",4
"283","actual",5
"284","actually",12
"285","actuated",1
"286","acute",2
"287","acutely",4
"288","acutest",1
"289","adapted",3
"290","add",12
"291","added",71
"292","adding",5
"293","addition",8
"294","additional",2
"295","additions",1
"296","address",19
"297","addressed",17
"298","addresses",6
"299","addressing",3
"300","adds",3
"301","adept",1
"302","adequate",1
"303","adhered",1
"304","adhering",1
"305","adieu",5
"306","adieus",2
"307","adjusting",1
"308","admirable",3
"309","admiration",25
"310","admire",18
"311","admired",12
"312","admirer",3
"313","admires",2
"314","admiring",2
"315","admission",1
"316","admit",6
"317","admittance",1
"318","admitted",9
"319","admitting",1
"320","adopt",3
"321","adopted",1
"322","adoration",1
"323","adorned",3
"324","advance",3
"325","advanced",5
"326","advancement",1
"327","advances",1
"328","advantage",34
"329","advantageous",2
"330","advantageously",2
"331","advantages",7
"332","adventure",2
"333","advertised",1
"334","advice",16
"335","advisable",6
"336","advise",8
"337","advised",3
"338","advising",1
"339","affability",4
"340","affable",1
"341","affair",18
"342","affairs",7
"343","affect",3
"344","affectation",3
"345","affected",19
"346","affection",58
"347","affectionate",17
"348","affectionately",4
"349","affections",4
"350","affinity",2
"351","affirmative",2
"352","afflicted",1
"353","afflicting",1
"354","affliction",1
"355","afford",7
"356","afforded",5
"357","affording",2
"358","affords",1
"359","affront",4
"360","affronted",2
"361","afraid",37
"362","afresh",1
"363","after",200
"364","afternoon",3
"365","afterwards",32
"366","again",177
"367","against",52
"368","age",15
"369","agitated",5
"370","agitation",6
"371","agitations",1
"372","ago",26
"373","agonies",1
"374","agony",1
"375","agree",6
"376","agreeable",45
"377","agreeably",3
"378","agreed",12
"379","agreeing",3
"380","agreement",3
"381","ah",5
"382","aid",1
"383","aimed",1
"384","air",30
"385","airing",1
"386","airs",1
"387","alacrity",5
"388","alarm",14
"389","alarmed",8
"390","alarming",5
"391","alarms",1
"392","alas",2
"393","alienated",1
"394","alighted",1
"395","alike",2
"396","alive",2
"397","all",621
"398","allayed",1
"399","alleviate",1
"400","alleviated",1
"401","alliance",3
"402","allow",31
"403","allowable",1
"404","allowance",2
"405","allowances",1
"406","allowed",26
"407","allowing",8
"408","allude",1
"409","alluded",6
"410","alluding",1
"411","allurements",1
"412","allusion",4
"413","allusions",2
"414","almost",59
"415","alone",30
"416","along",9
"417","aloof",2
"418","aloud",11
"419","already",28
"420","also",34
"421","altar",1
"422","alter",1
"423","alteration",7
"424","alterations",1
"425","altered",7
"426","alternate",1
"427","alternative",3
"428","although",1
"429","altogether",8
"430","always",119
"431","am",316
"432","amaze",1
"433","amazed",5
"434","amazement",10
"435","amazes",1
"436","amazing",2
"437","ambition",1
"438","amendment",2
"439","amends",5
"440","amiable",36
"441","amid",1
"442","amidst",4
"443","amiss",1
"444","among",25
"445","amongst",12
"446","amount",2
"447","amounting",1
"448","ample",2
"449","amply",2
"450","amuse",5
"451","amused",6
"452","amusement",12
"453","amusements",3
"454","amusing",4
"455","an",361
"456","ancient",1
"457","and",3585
"458","anecdote",2
"459","anecdotes",1
"460","anew",1
"461","angel",3
"462","angelic",1
"463","anger",13
"464","angrily",1
"465","angry",17
"466","anguish",2
"467","animal",1
"468","animated",2
"469","animating",1
"470","animation",4
"471","ankle",1
"472","ankles",2
"473","anne",4
"474","anne's",1
"475","annesley",3
"476","annexed",1
"477","announce",4
"478","announced",3
"479","annoyed",1
"480","annual",1
"481","annum",2
"482","another",56
"483","another_",1
"484","answer",65
"485","answerable",2
"486","answered",34
"487","answering",3
"488","answers",1
"489","antagonist",1
"490","ante",1
"491","anticipate",1
"492","anticipated",4
"493","anticipating",2
"494","anticipation",1
"495","anxiety",19
"496","anxious",26
"497","anxiously",2
"498","any",268
"499","anybody",23
"500","anybody's",1
"501","anyhow",1
"502","anyone",24
"503","anything",80
"504","anywhere",1
"505","apace",1
"506","apartment",4
"507","apartments",2
"508","apologies",2
"509","apologise",5
"510","apologised",2
"511","apologising",4
"512","apology",8
"513","apothecary",2
"514","apparel",1
"515","apparent",3
"516","apparently",2
"517","appeal",2
"518","appeals",1
"519","appear",30
"520","appearance",30
"521","appearances",1
"522","appeared",31
"523","appearing",6
"524","appears",3
"525","appease",1
"526","appeased",1
"527","appertain",1
"528","appetite",2
"529","application",12
"530","applied",12
"531","applies",1
"532","apply",3
"533","applying",3
"534","appointed",1
"535","appointment",1
"536","apprehended",1
"537","apprehending",1
"538","apprehension",12
"539","apprehensions",2
"540","apprehensive",1
"541","approach",7
"542","approached",6
"543","approaching",12
"544","approbation",7
"545","approve",5
"546","approved",3
"547","april",1
"548","apt",1
"549","arch",1
"550","archbishop",1
"551","archly",2
"552","archness",1
"553","ardent",1
"554","ardently",2
"555","are",338
"556","argued",1
"557","arguing",1
"558","argument",5
"559","arguments",5
"560","arise",7
"561","arisen",5
"562","arising",5
"563","arm",4
"564","army",3
"565","arose",5
"566","around",2
"567","aroused",1
"568","arrange",1
"569","arranged",2
"570","arrangement",8
"571","arrangements",1
"572","arranges",1
"573","arranging",2
"574","arrear",1
"575","arrested",2
"576","arrival",30
"577","arrive",2
"578","arrived",15
"579","arriving",1
"580","arrogance",1
"581","arrogant",1
"582","art",3
"583","artful",1
"584","artfully",1
"585","article",3
"586","articles",2
"587","artificial",1
"588","arts",4
"589","as",1180
"590","ascended",3
"591","ascertain",2
"592","ascertaining",1
"593","ashamed",16
"594","ashworth",1
"595","aside",4
"596","ask",32
"597","asked",40
"598","asking",14
"599","aspect",6
"600","asperity",1
"601","aspire",1
"602","assembled",6
"603","assemblies",2
"604","assembly",9
"605","assent",1
"606","assented",2
"607","assents",1
"608","assert",5
"609","asserted",1
"610","asserting",1
"611","assertion",3
"612","assertions",3
"613","assiduous",1
