nombre , total,	domestica,	comercial,	industrial, servicios, pipa
Aguascalientes, 83998,	78264,	3413,	512,	1629,	180
Baja_california, 277488,	142708,	8078,	12824,	113758,	120
Baja_california_sur, 50570,	38106,	4877,	6405,	789,	393
Campeche, 33829,	21534,	5145,	992,	102,	6056
Coahuila, 168029,	135057,	20341,	8416,	3548,	667
Colima, 34643,	28940,	3754,	1541,	405,	3
Chiapas, 46064,	36373,	6103,	1495,	1990,	103
Chihuahua, 216184,	110974,	20813,	67288,	9310,	7799
Distrito_Federal, 506151,	363375,	88205,	32721,	21340,	510
Durango, 38483,	15667,	5783,	15925,	1019,	89
Guanajuato, 167031,	130420,	22601,	6764,	5573,	1673
Guerrero, 125866,	109069,	11038,	2621,	2854,	284
Hidalgo, 71329,	54296,	5927,	2813,	2672,	5621
Jalisco, 347665,	274249,	42931,	13086,	15940,	1459
Mexico, 806060,	681767,	87419,	12005,	818,	24051
Michoacan, 150059,	122457,	20655,	4562,	1652,	733
Morelos, 111856,	97004,	9345,	2711,	1953,	843
Nayarit, 51823,	44562,	6615,	559,	69,	18
Nuevo_Leon, 265851,	223210,	42075,	105,	461,	0
Oaxaca, 73498,	60862,	7240,	2164,	2894,	338
Puebla, 131447,	111865,	9987,	6198,	2493,	904
Queretaro, 93094,	74282,	8422,	1823,	8075,	492
Quintana_roo, 87318,	51299,	16826,	8940,	8229,	2024
SLP, 38268,	22605,	10193,	2115,	1937,	1418
Sinaloa, 201277,	159286,	14549,	7205,	20121,	116
Sonora, 177474,	136117,	31462,	9222,	319,	354
Tabasco, 14879,	8006,	3820,	1255,	1660,	138
Tamaulipas, 197048,	158018,	9857,	21592,	6411,	1170
Tlaxcala, 25123,	21501,	1896,	358,	121,	1247
Veracruz, 258036,	208068,	42298,	3222,	4268,	180
Yucatan, 58372,	52444,	2210,	85,	3389,	244
Zacatecas, 45925,	38358,	2627,	2685,	1664,	591
