id 	total	domes	comer	indust	serv	pipa
1	83998	78264	3413	512	1629	180
2	277488	142708	8078	12824	113758	120
3	50570	38106	4877	6405	789	393
4	33829	21534	5145	992	102	6056
5	168029	135057	20341	8416	3548	667
6	28940	3754	1541	405	3
7	46064	36373	6103	1495	1990	103
8	216184	110974	20813	67288	9310	7799
9	506151	363375	88205	32721	21340	510
10	38483	15667	5783	15925	1019	89
11	167031	130420	22601	6764	5573	1673
12	125866	109069	11038	2621	2854	284
13	71329	54296	5927	2813	2672	5621
14	347665	274249	42931	13086	15940	1459
15	806060	681767	87419	12005	818	24051
16	150059	122457	20655	4562	1652	733
17	111856	97004	9345	2711	1953	843
18	51823	44562	6615	559	69	18
19	265851	223210	42075	105	461	0
20	73498	60862	7240	2164	2894	338
21	131447	111865	9987	6198	2493	904
22	93094	74282	8422	1823	8075	492
23	87318	51299	16826	8940	8229	2024
24	38268	22605	10193	2115	1937	1418
25	201277	159286	14549	7205	20121	116
26	177474	136117	31462	9222	319	354
27	14879	8006	3820	1255	1660	138
28	197048	158018	9857	21592	6411	1170
29	25123	21501	1896	358	121	1247
30	258036	208068	42298	3222	4268	180
31	58372	52444	2210	85	3389	244
32	45925	38358	2627	2685	1664	591
